date,title,amount,
2026-03-22,Ifd*32269627 Rafael Ma,102.88
2026-03-22,Mp *Acaialegria,38.25
2026-03-22,Mp *Acaialegria,13.97
2026-03-21,Bk*Crbio - Parcela 8/12,184.22
2026-03-21,Mercadolivre*Mercadol - Parcela 2/2,25.99
2026-03-21,Mercadinho Artur Berna,1.90
2026-03-21,99app *99app,12.87
2026-03-21,Mercadinho Artur Berna,5.00
2026-03-21,99app *99app,10.80
2026-03-21,Carrefour Tte - Parcela 3/3,47.75
